"Mental Health related emergency department visits (annual) by Age (years) for Total mental health presentations by Sex"
"Age (years)","Presentation type","Sex","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"18-24 years","Total mental health presentations","Males","13/14","1,964.9","1,919.2","2,011.4"
"18-24 years","Total mental health presentations","Males","14/15","2,191.2","2,143.2","2,239.9"
"18-24 years","Total mental health presentations","Males","15/16","2,328.2","2,279.0","2,378.3"
"18-24 years","Total mental health presentations","Males","16/17","2,385.8","2,336.2","2,436.2"
"18-24 years","Total mental health presentations","Males","17/18","2,408.3","2,358.9","2,458.5"
"18-24 years","Total mental health presentations","Males","18/19","2,543.0","2,492.7","2,594.1"
"18-24 years","Total mental health presentations","Males","19/20","2,547.1","2,497.1","2,598.0"
"18-24 years","Total mental health presentations","Males","20/21","2,538.2","2,487.5","2,589.7"
"18-24 years","Total mental health presentations","Males","21/22","2,616.2","2,563.4","2,669.9"
"18-24 years","Total mental health presentations","Males","22/23","2,492.1","2,441.3","2,543.7"
"18-24 years","Total mental health presentations","Males","23/24","2,397.9","2,349.7","2,446.8"
"18-24 years","Total mental health presentations","Males","24/25","2,208.0","2,162.5","2,254.2"
"18-24 years","Total mental health presentations","Females","12/13","2,273.8","2,223.2","2,325.3"
"18-24 years","Total mental health presentations","Females","13/14","2,495.2","2,442.5","2,548.7"
"18-24 years","Total mental health presentations","Females","14/15","2,585.2","2,531.8","2,639.3"
"18-24 years","Total mental health presentations","Females","15/16","2,872.6","2,816.7","2,929.5"
"18-24 years","Total mental health presentations","Females","16/17","2,985.8","2,929.1","3,043.4"
"18-24 years","Total mental health presentations","Females","17/18","2,968.4","2,912.1","3,025.4"
"18-24 years","Total mental health presentations","Females","18/19","3,219.8","3,161.6","3,278.8"
"18-24 years","Total mental health presentations","Females","19/20","3,394.8","3,335.0","3,455.3"
"18-24 years","Total mental health presentations","Females","20/21","3,811.4","3,747.0","3,876.7"
"18-24 years","Total mental health presentations","Females","21/22","4,189.0","4,119.5","4,259.3"
"18-24 years","Total mental health presentations","Females","22/23","3,931.6","3,864.8","3,999.2"
"18-24 years","Total mental health presentations","Females","23/24","3,596.9","3,534.8","3,659.8"
"18-24 years","Total mental health presentations","Females","24/25","3,435.3","3,375.5","3,495.9"
"18-24 years","Total mental health presentations","Persons","12/13","2,091.4","2,057.4","2,125.8"
"18-24 years","Total mental health presentations","Persons","13/14","2,224.4","2,189.6","2,259.7"
"18-24 years","Total mental health presentations","Persons","14/15","2,384.2","2,348.4","2,420.5"
