"Mental health related emergency department visits (monthly) by Age (years) for Total mental health presentations by Sex and LHD"
"Age (years)","Presentation type","Sex","LHD","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2015-Q4","119.7","71.8","187.4"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2016-Q1","142.5","89.9","214.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2016-Q2","123.5","74.9","191.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2016-Q3","141.0","88.6","212.9"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2016-Q4","144.1","91.1","216.7"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2017-Q1","140.8","88.8","212.3"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2017-Q2","170.6","112.7","247.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2017-Q3","162.8","106.3","238.5"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2017-Q4","170.6","112.7","247.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2018-Q1","179.8","120.4","258.3"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2018-Q2","179.8","120.4","258.3"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2018-Q3","195.3","133.2","276.5"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2018-Q4","207.8","143.4","291.0"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2019-Q1","191.6","130.4","271.6"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2019-Q2","199.3","136.7","280.5"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2019-Q3","213.0","148.2","296.6"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2019-Q4","233.0","164.9","319.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2020-Q1","239.3","170.8","326.2"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2020-Q2","234.8","167.0","321.0"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2020-Q3","225.8","159.4","310.5"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2020-Q4","203.2","140.5","284.3"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2021-Q1","208.7","145.1","290.6"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2021-Q2","207.2","143.9","288.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2021-Q3","177.1","119.1","253.6"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2021-Q4","166.6","110.5","241.2"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2022-Q1","176.2","118.7","252.0"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2022-Q2","165.9","110.2","239.7"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2022-Q3","198.4","137.0","278.0"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2022-Q4","207.3","144.4","288.4"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2023-Q1","193.7","133.7","271.3"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2023-Q2","206.7","144.6","286.4"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2023-Q3","200.9","139.7","279.7"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2023-Q4","209.6","147.0","289.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2024-Q1","212.9","151.4","291.0"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2024-Q2","203.3","143.3","279.9"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2024-Q3","212.9","151.4","291.0"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2024-Q4","215.6","153.7","294.1"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2025-Q1","196.2","137.8","271.1"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2025-Q2","217.7","155.9","295.9"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2025-Q3","224.5","161.6","303.7"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2025-Q4","232.5","168.4","312.9"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2015-Q4","211.1","168.6","261.1"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2016-Q1","219.5","176.5","269.9"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2016-Q2","228.7","184.7","279.9"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2016-Q3","237.8","193.0","290.0"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2016-Q4","220.1","177.1","270.5"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2017-Q1","213.4","171.4","262.6"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2017-Q2","205.0","163.9","253.3"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2017-Q3","211.6","169.8","260.6"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2017-Q4","210.4","168.7","259.3"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2018-Q1","228.4","185.2","278.7"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2018-Q2","245.5","200.6","297.5"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2018-Q3","270.9","223.6","325.2"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2018-Q4","307.5","256.9","365.0"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2019-Q1","321.4","270.2","379.5"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2019-Q2","323.7","272.3","382.0"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2019-Q3","322.6","271.3","380.7"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2019-Q4","334.1","281.9","393.3"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2020-Q1","313.7","263.9","370.2"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2020-Q2","317.6","267.5","374.4"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2020-Q3","339.5","287.6","398.0"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2020-Q4","344.0","291.7","402.9"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2021-Q1","334.6","283.6","392.2"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2021-Q2","327.5","277.0","384.5"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2021-Q3","289.0","241.7","342.8"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2021-Q4","266.5","221.2","318.4"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2022-Q1","268.7","223.5","320.3"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2022-Q2","281.7","235.4","334.4"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2022-Q3","301.7","253.7","356.1"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2022-Q4","288.1","241.3","341.4"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2023-Q1","283.6","237.7","335.9"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2023-Q2","281.5","235.7","333.6"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2023-Q3","279.9","234.3","331.9"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2023-Q4","290.0","243.5","342.7"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2024-Q1","296.1","248.0","350.8"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2024-Q2","280.5","233.8","333.9"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2024-Q3","271.7","225.7","324.3"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2024-Q4","269.5","223.7","321.9"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2025-Q1","260.4","215.8","311.6"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2025-Q2","258.2","213.8","309.2"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2025-Q3","255.5","211.3","306.2"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2025-Q4","249.5","205.8","299.6"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2015-Q4","211.7","159.6","275.4"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2016-Q1","218.4","165.3","283.1"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2016-Q2","227.0","172.8","292.9"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2016-Q3","220.3","167.0","285.3"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2016-Q4","224.2","170.3","289.6"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2017-Q1","238.1","182.9","304.8"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2017-Q2","241.0","185.4","308.0"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2017-Q3","248.6","192.0","316.5"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2017-Q4","245.7","189.5","313.3"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2018-Q1","246.9","190.8","314.4"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2018-Q2","245.0","189.1","312.3"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2018-Q3","238.4","183.3","304.9"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2018-Q4","254.5","197.4","322.9"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2019-Q1","237.0","182.4","302.8"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2019-Q2","238.9","184.1","304.9"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2019-Q3","244.5","189.0","311.2"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2019-Q4","236.1","181.6","301.8"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2020-Q1","235.5","181.5","300.4"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2020-Q2","241.9","187.2","307.6"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2020-Q3","274.7","216.2","344.2"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2020-Q4","272.9","214.6","342.2"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2021-Q1","298.4","237.3","370.4"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2021-Q2","308.4","246.2","381.4"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2021-Q3","281.1","221.9","351.2"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2021-Q4","291.1","230.8","362.3"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2022-Q1","278.2","219.8","347.3"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2022-Q2","262.1","205.5","329.4"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2022-Q3","250.5","195.2","316.4"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2022-Q4","234.4","181.1","298.4"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2023-Q1","210.4","160.2","271.2"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2023-Q2","219.2","168.0","281.2"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2023-Q3","218.4","167.2","280.2"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2023-Q4","223.7","171.9","286.2"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2024-Q1","221.8","170.5","283.7"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2024-Q2","190.2","143.0","248.1"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2024-Q3","190.2","143.0","248.1"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2024-Q4","184.1","137.7","241.1"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2025-Q1","184.6","138.3","241.5"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2025-Q2","216.0","165.6","276.9"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2025-Q3","246.4","192.4","311.0"
"12-17 years","Total mental health presentations","Males","South Eastern Sydney LHD","2025-Q4","249.9","195.5","314.9"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2015-Q4","280.6","202.0","379.6"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2016-Q1","321.1","236.5","426.0"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2016-Q2","316.1","232.2","420.3"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2016-Q3","312.7","229.3","416.4"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2016-Q4","339.6","252.4","447.1"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2017-Q1","317.5","233.3","422.2"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2017-Q2","324.3","239.1","429.9"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2017-Q3","336.1","249.2","443.4"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2017-Q4","366.5","275.5","477.9"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2018-Q1","361.9","271.9","472.2"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2018-Q2","350.2","261.7","458.9"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2018-Q3","366.9","276.2","477.9"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2018-Q4","340.1","253.0","447.5"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2019-Q1","354.8","266.4","463.2"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2019-Q2","406.0","310.9","521.0"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2019-Q3","419.2","322.5","535.8"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2019-Q4","452.2","351.5","572.7"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2020-Q1","442.9","344.0","561.5"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2020-Q2","467.4","365.5","588.8"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2020-Q3","513.0","406.0","639.5"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2020-Q4","526.0","417.6","654.0"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2021-Q1","527.3","420.0","653.6"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2021-Q2","511.4","405.8","636.0"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2021-Q3","465.3","364.9","584.8"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2021-Q4","459.0","359.3","577.8"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2022-Q1","439.8","342.7","555.9"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2022-Q2","408.3","314.9","520.6"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2022-Q3","394.1","302.5","504.7"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2022-Q4","370.5","281.8","478.1"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2023-Q1","367.0","279.2","473.6"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2023-Q2","371.6","283.3","478.9"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2023-Q3","388.8","298.3","498.2"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2023-Q4","373.2","284.6","480.6"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2024-Q1","348.0","264.4","449.6"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2024-Q2","342.0","259.2","442.9"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2024-Q3","371.9","285.3","476.5"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2024-Q4","383.9","295.8","489.9"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2025-Q1","372.8","286.5","477.0"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2025-Q2","359.5","274.8","462.0"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2025-Q3","338.8","256.8","438.7"
"12-17 years","Total mental health presentations","Males","Illawarra Shoalhaven LHD","2025-Q4","341.8","259.3","442.0"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2015-Q4","126.0","91.8","168.7"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2016-Q1","141.8","105.4","186.7"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2016-Q2","162.1","123.0","209.7"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2016-Q3","153.0","115.1","199.4"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2016-Q4","153.7","115.7","200.2"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2017-Q1","132.8","98.0","176.0"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2017-Q2","124.6","90.9","166.5"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2017-Q3","131.4","96.8","174.4"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2017-Q4","138.3","102.7","182.2"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2018-Q1","150.3","113.3","195.6"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2018-Q2","144.9","108.6","189.4"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2018-Q3","136.1","101.0","179.4"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2018-Q4","144.9","108.6","189.4"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2019-Q1","139.6","104.5","182.8"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2019-Q2","144.3","108.5","188.0"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2019-Q3","148.9","112.6","193.3"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2019-Q4","151.6","114.9","196.2"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2020-Q1","147.3","111.7","190.7"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2020-Q2","155.0","118.4","199.3"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2020-Q3","172.3","133.6","218.7"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2020-Q4","173.6","134.7","220.2"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2021-Q1","188.1","148.0","235.6"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2021-Q2","197.4","156.3","245.9"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2021-Q3","196.8","155.8","245.2"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2021-Q4","201.1","159.7","250.1"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2022-Q1","184.7","145.8","230.9"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2022-Q2","180.0","141.5","225.6"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2022-Q3","174.6","136.8","219.6"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2022-Q4","168.6","131.5","212.9"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2023-Q1","170.6","134.0","214.0"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2023-Q2","165.4","129.4","208.3"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2023-Q3","180.3","142.7","224.9"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2023-Q4","176.3","139.1","220.4"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2024-Q1","168.0","131.5","211.5"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2024-Q2","169.2","132.5","212.8"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2024-Q3","153.5","118.7","195.2"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2024-Q4","159.9","124.3","202.4"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2025-Q1","162.2","126.9","204.4"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2025-Q2","170.7","134.4","213.8"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2025-Q3","179.2","141.9","223.2"
"12-17 years","Total mental health presentations","Males","Western Sydney LHD","2025-Q4","183.1","145.4","227.6"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2015-Q4","318.1","233.5","423.3"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2016-Q1","316.7","232.3","421.8"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2016-Q2","316.7","232.3","421.8"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2016-Q3","332.0","245.4","439.3"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2016-Q4","340.6","252.8","449.0"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2017-Q1","333.4","246.8","440.4"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2017-Q2","335.1","248.3","442.4"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2017-Q3","340.1","252.7","448.1"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2017-Q4","338.5","251.2","446.2"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2018-Q1","324.2","239.2","429.5"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2018-Q2","337.6","250.8","444.8"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2018-Q3","351.0","262.4","460.0"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2018-Q4","362.8","272.5","473.4"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2019-Q1","395.2","301.0","509.5"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2019-Q2","410.2","314.2","526.4"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2019-Q3","415.2","318.5","532.0"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2019-Q4","445.2","344.9","565.7"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2020-Q1","447.2","347.4","566.6"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2020-Q2","429.1","331.6","546.5"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2020-Q3","419.3","322.9","535.5"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2020-Q4","388.2","295.7","500.5"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2021-Q1","346.2","260.2","451.4"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2021-Q2","347.8","261.6","453.2"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2021-Q3","347.8","261.6","453.2"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2021-Q4","370.1","281.0","478.5"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2022-Q1","385.3","294.8","495.0"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2022-Q2","366.4","278.2","473.6"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2022-Q3","355.3","268.6","461.2"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2022-Q4","333.2","249.4","436.1"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2023-Q1","338.3","254.1","441.4"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2023-Q2","355.5","269.1","460.9"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2023-Q3","396.2","304.6","506.7"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2023-Q4","400.9","308.8","512.0"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2024-Q1","376.2","287.1","484.2"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2024-Q2","380.9","291.2","489.5"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2024-Q3","357.4","270.7","463.0"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2024-Q4","348.0","262.5","452.4"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2025-Q1","355.4","269.4","460.3"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2025-Q2","377.2","288.3","484.8"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2025-Q3","392.7","301.9","502.2"
"12-17 years","Total mental health presentations","Males","Nepean Blue Mountains LHD","2025-Q4","414.4","321.0","526.5"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2015-Q4","210.9","164.3","266.7"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2016-Q1","206.1","160.4","260.7"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2016-Q2","223.2","175.5","279.7"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2016-Q3","222.4","174.9","278.9"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2016-Q4","228.4","180.2","285.5"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2017-Q1","236.9","187.8","294.9"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2017-Q2","260.6","209.0","321.2"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2017-Q3","303.0","247.0","367.8"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2017-Q4","335.7","276.6","403.5"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2018-Q1","366.0","304.5","436.3"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2018-Q2","391.8","328.0","464.3"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2018-Q3","389.6","326.0","461.9"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2018-Q4","395.5","331.4","468.3"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2019-Q1","355.5","295.7","423.9"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2019-Q2","326.8","269.6","392.6"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2019-Q3","305.3","250.1","369.1"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2019-Q4","299.6","244.9","362.9"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2020-Q1","287.2","234.4","348.3"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2020-Q2","299.0","245.1","361.3"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2020-Q3","313.0","257.8","376.5"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2020-Q4","310.9","255.9","374.2"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2021-Q1","321.0","265.1","385.2"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2021-Q2","305.7","251.3","368.5"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2021-Q3","299.5","245.6","361.6"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2021-Q4","302.2","248.1","364.7"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2022-Q1","301.4","248.1","362.9"
