"Self-rated mental health status by Category for 2022"
"Category","Period","Per cent","LL 95% CI","UL 95% CI"
"Excellent","2022","21.2","20.1","22.3"
"Very good","2022","27.6","26.4","28.8"
"Good","2022","30.9","29.6","32.1"
"Fair","2022","14.1","13.2","15.1"
"Poor","2022","5.0","4.4","5.6"
"Very poor","2022","1.2","0.9","1.5"
""
"Source:"
"NSW Population Health Survey (SAPHaRI). Centre for Epidemiology and Evidence, NSW Ministry of Health."
"Citation:"
"Centre for Epidemiology and Evidence.  HealthStats NSW. Sydney:  NSW Ministry of Health Available at: https://www.healthstats.nsw.gov.au/r/116281 Accessed: Fri Apr 17 2026 13:00:07 GMT+1000 (Australian Eastern Standard Time)"
"Notes:"
"Sources"
"NSW Population Health Survey (SAPHaRI). Centre for Epidemiology and Evidence, NSW Ministry of Health."
"Definition"
"The single question self-rated mental health measure asks respondents to rate their mental health on a five-point scale from excellent to poor. It is used due to its simplicity and efficiency, allowing the monitoring of population level general mental health (Ahmad et al, 2014). Self-rated mental health has been found to be associated with multi-item measures of mental health, self-rated health, health problems, service utilisation and service satisfaction (Ahmad et al, 2014). However, self-rated mental health is not a proxy for identifying clinical mental illness (Levinson and Kaplan, 2014; Mawani and Gilmour, 2010). Research indicates, self-rated mental health is more closely related to subjective well-being and general health status (Levinson and Kaplan, 2014). There is variation in responses across gender, racial and ethnic groups (Ahmad et al, 2014)."
""
"The question used to define the indicator was: Overall, how would you rate your mental health during the past 4 weeks? Was it excellent, very good, good, fair, poor or very poor?"
"Source: https://www.health.nsw.gov.au/surveys/adult/Documents/questionnaire-2023.pdf"
"Inclusions & Exclusions"
"Adults are defined as persons aged 16 years and over in the NSW Population Health Survey."
"Statistical Methods"
"The indicator shows self-reported data collected through Computer Assisted Telephone Interviewing (CATI). In order to address diminishing coverage of the population by landline telephone numbers (<85% since 2010), a mobile phone number sampling frame was introduced into the 2012 survey. Between 2012 and 2019, the mobile phone number sampling frame made up approximately 30% of the sampling frame. From 2021, the survey is solely using a mobile phone number based sampling frame."
"The inclusion of mobile phone numbers has substantially increased the Aboriginal sample and this change in design means that the 2012 NSW Population Health Survey estimates reflect both changes that have occurred in the population over time and changes due to the improved design of the survey. With the change of the sampling frame in 2021 to being completely mobile phone based, there has been a further increase in the Aboriginal sample. Consequently, estimates from 2021 will reflect changes in both the population in this time and changes due to the further improved design of the survey."
"Estimates were weighted to adjust for differences in the probability of selection among respondents and were benchmarked to the estimated residential population using the latest available Australian Bureau of Statistics mid-year population estimates."
