"Life satisfaction by Category for 2022"
"Category","Period","Per cent","LL 95% CI","UL 95% CI"
"Delightful","2022","19.9","18.8","21.0"
"Pleased","2022","29.6","28.3","30.8"
"Mostly satisfied","2022","33.4","32.1","34.7"
"Mixed","2022","13.2","12.3","14.1"
"Mostly dissatisfied","2022","1.5","1.2","1.8"
"Unhappy","2022","1.8","1.5","2.1"
"Terrible","2022","0.6","0.4","0.8"
""
"Source:"
"NSW Population Health Survey (SAPHaRI). Centre for Epidemiology and Evidence, NSW Ministry of Health."
"Citation:"
"Centre for Epidemiology and Evidence.  HealthStats NSW. Sydney:  NSW Ministry of Health Available at: https://www.healthstats.nsw.gov.au/r/116341 Accessed: Fri Apr 17 2026 13:02:57 GMT+1000 (Australian Eastern Standard Time)"
"Notes:"
"Sources"
"NSW Population Health Survey (SAPHaRI). Centre for Epidemiology and Evidence, NSW Ministry of Health."
"Definition"
"This indicator presents global life satisfaction as measured by self-rating on the delighted-terrible scale. It encapsulates a person's cognitive evaluation of their life as a whole, providing a measure of their well-being. It has been found to be a reliable and valid measure for monitoring population-level wellbeing (OECD, 2013).More details about subjective well-being and life satisfaction measures can be found here.Source: http://labs.psychology.illinois.edu/~ediener/SWLS.html accessed 28/5/2024"
""
"The question used to define the indicator was: How do you feel about your life as a whole? Was it delightful, pleased, mostly satisfied, mixed, mostly dissatisfied, unhappy, terrible?"
"Source: https://www.health.nsw.gov.au/surveys/adult/Documents/questionnaire-2023.pdf"
"Inclusions & Exclusions"
"Adults are defined as persons aged 16 years and over in the NSW Population Health Survey."
"Statistical Methods"
"The indicator shows self-reported data collected through Computer Assisted Telephone Interviewing (CATI). In order to address diminishing coverage of the population by landline telephone numbers (<85% since 2010), a mobile phone number sampling frame was introduced into the 2012 survey. Between 2012 and 2019, the mobile phone number sampling frame made up approximately 30% of the sampling frame. From 2021, the survey is solely using a mobile phone number based sampling frame."
"The inclusion of mobile phone numbers has substantially increased the Aboriginal sample and this change in design means that the 2012 NSW Population Health Survey estimates reflect both changes that have occurred in the population over time and changes due to the improved design of the survey. With the change of the sampling frame in 2021 to being completely mobile phone based, there has been a further increase in the Aboriginal sample. Consequently, estimates from 2021 will reflect changes in both the population in this time and changes due to the further improved design of the survey."
"Estimates were weighted to adjust for differences in the probability of selection among respondents and were benchmarked to the estimated residential population using the latest available Australian Bureau of Statistics mid-year population estimates."
