"Intentional self-harm hospitalisations by Sex and Age (years)"
"Sex","Age (years)","Period","Age standardised rate per 100,000 population","LL 95% CI","UL 95% CI"
"Persons","35-44 years","04/05","72.6","67.4","78.1"
"Persons","35-44 years","05/06","86.5","80.8","92.5"
"Persons","35-44 years","06/07","99.4","93.3","105.8"
"Persons","35-44 years","07/08","100.0","93.9","106.4"
"Persons","35-44 years","08/09","106.0","99.7","112.6"
"Persons","35-44 years","09/10","113.3","106.8","120.1"
"Persons","35-44 years","10/11","106.9","100.6","113.5"
"Persons","35-44 years","11/12","109.7","103.3","116.3"
"Persons","35-44 years","12/13","109.3","102.9","115.9"
"Persons","35-44 years","13/14","111.1","104.7","117.7"
"Persons","35-44 years","14/15","124.3","117.5","131.3"
"Persons","35-44 years","15/16","116.0","109.5","122.8"
"Persons","35-44 years","16/17","116.3","109.8","123.1"
"Persons","35-44 years","17/18","97.5","91.7","103.7"
"Persons","35-44 years","18/19","89.3","83.7","95.2"
"Persons","35-44 years","19/20","78.4","73.2","83.9"
"Persons","35-44 years","20/21","73.9","68.9","79.2"
"Persons","35-44 years","21/22","59.6","55.2","64.3"
"Persons","35-44 years","22/23","61.3","56.8","66.0"
"Persons","35-44 years","23/24","59.6","55.3","64.2"
"Persons","45-64 years","01/02","39.0","35.9","42.2"
"Persons","45-64 years","02/03","44.6","41.3","48.1"
"Persons","45-64 years","03/04","43.4","40.2","46.8"
"Persons","45-64 years","04/05","45.7","42.4","49.1"
"Persons","45-64 years","05/06","55.6","52.0","59.4"
"Persons","45-64 years","06/07","54.2","50.7","57.9"
"Persons","45-64 years","07/08","58.8","55.2","62.6"
"Persons","45-64 years","08/09","61.9","58.2","65.7"
"Persons","45-64 years","09/10","68.9","65.0","72.9"
"Persons","45-64 years","10/11","65.5","61.7","69.4"
"Persons","45-64 years","11/12","69.6","65.8","73.6"
"Persons","45-64 years","12/13","82.7","78.5","87.1"
"Persons","45-64 years","13/14","84.5","80.2","88.9"
"Persons","45-64 years","14/15","87.5","83.2","92.0"
"Persons","45-64 years","15/16","88.4","84.1","92.9"
"Persons","45-64 years","16/17","89.7","85.4","94.2"
"Persons","45-64 years","17/18","77.0","73.0","81.1"
"Persons","45-64 years","18/19","73.4","69.5","77.4"
"Persons","45-64 years","19/20","64.9","61.3","68.7"
"Persons","45-64 years","20/21","61.5","58.0","65.2"
"Persons","45-64 years","21/22","53.5","50.3","56.9"
"Persons","45-64 years","22/23","53.0","49.8","56.4"
"Persons","45-64 years","23/24","54.1","50.8","57.5"
"Persons","65-74 years","01/02","21.6","17.6","26.3"
"Persons","65-74 years","02/03","21.4","17.4","26.0"
"Persons","65-74 years","03/04","18.7","15.0","23.1"
"Persons","65-74 years","04/05","23.4","19.2","28.2"
"Persons","65-74 years","05/06","22.0","18.0","26.7"
"Persons","65-74 years","06/07","22.1","18.1","26.7"
"Persons","65-74 years","07/08","23.8","19.7","28.5"
"Persons","65-74 years","08/09","26.9","22.6","31.9"
"Persons","65-74 years","09/10","21.9","18.1","26.2"
"Persons","65-74 years","10/11","28.4","24.1","33.2"
"Persons","65-74 years","11/12","29.9","25.6","34.7"
"Persons","65-74 years","12/13","32.7","28.3","37.6"
"Persons","65-74 years","13/14","32.9","28.5","37.8"
"Persons","65-74 years","14/15","34.2","29.8","39.0"
"Persons","65-74 years","15/16","33.0","28.8","37.7"
"Persons","65-74 years","16/17","39.1","34.6","44.0"
"Persons","65-74 years","17/18","29.7","25.8","34.0"
"Persons","65-74 years","18/19","32.3","28.3","36.7"
"Persons","65-74 years","19/20","29.0","25.2","33.1"
"Persons","65-74 years","20/21","27.7","24.1","31.7"
"Persons","65-74 years","21/22","29.9","26.2","34.0"
"Persons","65-74 years","22/23","26.4","22.9","30.3"
"Persons","65-74 years","23/24","26.9","23.4","30.8"
"Persons","75+ years","01/02","22.4","18.0","27.6"
"Persons","75+ years","02/03","26.2","21.5","31.7"
"Persons","75+ years","03/04","30.7","25.7","36.5"
"Persons","75+ years","04/05","25.9","21.3","31.2"
"Persons","75+ years","05/06","24.9","20.4","30.0"
"Persons","75+ years","06/07","28.5","23.7","33.9"
"Persons","75+ years","07/08","28.4","23.7","33.8"
"Persons","75+ years","08/09","29.9","25.1","35.3"
"Persons","75+ years","09/10","31.6","26.7","37.1"
"Persons","75+ years","10/11","29.9","25.3","35.2"
"Persons","75+ years","11/12","30.0","25.4","35.3"
"Persons","75+ years","12/13","33.7","28.7","39.3"
"Persons","75+ years","13/14","35.7","30.6","41.2"
"Persons","75+ years","14/15","30.2","25.7","35.3"
"Persons","75+ years","15/16","39.3","34.2","45.0"
"Persons","75+ years","16/17","39.0","33.9","44.5"
"Persons","75+ years","17/18","32.6","28.1","37.7"
"Persons","75+ years","18/19","32.1","27.6","37.1"
"Persons","75+ years","19/20","32.2","27.8","37.1"
"Persons","75+ years","20/21","32.3","27.9","37.1"
"Persons","75+ years","21/22","32.8","28.5","37.5"
"Persons","75+ years","22/23","32.7","28.5","37.3"
"Persons","75+ years","23/24","30.2","26.2","34.6"
"Persons","All ages","01/02","52.7","51.0","54.5"
"Persons","All ages","02/03","51.9","50.2","53.7"
"Persons","All ages","03/04","54.5","52.7","56.3"
"Persons","All ages","04/05","55.2","53.4","57.0"
"Persons","All ages","05/06","62.4","60.5","64.3"
"Persons","All ages","06/07","65.9","63.9","67.8"
"Persons","All ages","07/08","65.6","63.7","67.5"
"Persons","All ages","08/09","68.3","66.4","70.3"
"Persons","All ages","09/10","73.2","71.2","75.2"
"Persons","All ages","10/11","70.8","68.9","72.8"
"Persons","All ages","11/12","74.9","72.9","76.9"
"Persons","All ages","12/13","85.7","83.5","87.9"
"Persons","All ages","13/14","87.5","85.3","89.7"
"Persons","All ages","14/15","89.7","87.5","91.9"
"Persons","All ages","15/16","92.5","90.3","94.8"
"Persons","All ages","16/17","96.1","93.9","98.4"
"Persons","All ages","17/18","82.2","80.2","84.3"
"Persons","All ages","18/19","79.0","77.1","81.1"
"Persons","All ages","19/20","76.5","74.6","78.5"
"Persons","All ages","20/21","79.0","77.0","81.0"
"Persons","All ages","21/22","68.3","66.5","70.2"
"Persons","All ages","22/23","61.3","59.5","63.0"
"Persons","All ages","23/24","55.6","54.0","57.3"
""
"Source:"
"NSW Combined Admitted Patient Epidemiology Data and ABS population estimates (SAPHaRI). Centre for Epidemiology and Evidence, NSW Ministry of Health. Population denominators for rate calculations are based on estimates and projections from ABS estimated resident populations, NSW Department of Planning, Housing and Infrastructure, and Aboriginal Affairs NSW."
"Citation:"
"Centre for Epidemiology and Evidence.  HealthStats NSW. Sydney:  NSW Ministry of Health Available at: https://www.healthstats.nsw.gov.au/r/133892 Accessed: Fri Apr 17 2026 16:28:57 GMT+1000 (Australian Eastern Standard Time)"
"Notes:"
"Definition"
"Intentional self-harm includes purposely self-inflicted poisoning or injury or attempted suicide with intent based on notes recorded by the treating clinician. This indicator measures people admitted to hospital after self-harm. It is not a direct measure of the number of people in the NSW population who make suicide attempts."
"Numerator: Number of hospitalisations (defined by ICD-10-AM codes as outlined in Coding section) for NSW residents.Denominator: NSW population as estimated by current ABS estimated resident population and NSW Department of Planning and Environment population projections."
"Inclusions & Exclusions"
"Only NSW residents are included."
"Patients treated solely within the emergency department are excluded from this indicator prior to 2017/18 due to a policy change impacting hospital admission criteria from this time (PD2025_012). However, a minority of patients being managed in short stay areas of emergency departments are still included."
"Records relating to acute hospital transfer and statistical discharge were excluded to eliminate double counting."
"Rehabilitation records are excluded to allow comparison of consistent trends over time."
"Further information about the exclusion of patients treated solely in emergency departments can be found here."
"Data for Far West LHD has been suppressed due to small numbers, and Western NSW LHD has been suppressed to prevent potential back-calculation of suppressed values."
"Coding"
"This indicator uses the principal diagnosis and first external cause code."
"Hospital separations were classified using ICD-10-AM."
"Statistical Methods"
"Figures are based on where a person resides, not where they are treated."
"Numbers for recent years include an estimate of the small number of hospitalisations of NSW residents in interstate public hospitals, data for which were unavailable at the time of production."
"Rates were age-adjusted using the Australian population as at 30 June 2001."
"Age standardised rates (also known as age-adjusted rates) apply an age adjustment to the rates of health outcomes (usually via a standardised population) so that comparison can be made across sub-populations, diseases or time. Age standardisation is required as age structures differ across time and between sub-populations, and disease rates generally differ across the different age groups."
"Dimensions/Variables"
"As Aboriginal people are under-reported on the Combined Admitted Patient Epidemiology Data collection, it is likely that the true numbers are higher than shown in this dimension."
"Local Health Districts (LHDs) are health administrative areas constituted under Section 17 of the NSW Health Services Act 1997 which became effective from January 2011 and were initially called Local Health Networks."
"Data for some Local Health Districts (LHDs) may not be included individually due to low numbers."
"All LHDs includes LHDs where numbers are too low to be individually included, and records where the LHD was missing or not stated."
"Primary Health Networks (PHNs) are health administrative areas which represent primary health care organisations in Australia from July 2014."
"All PHNs include records where the Primary Health Network is missing or not stated as well as records assigned to the NSW portion of the Murray PHN."
"The Accessibility/Remoteness Index of Australia Plus (ARIA plus) is a remoteness index value (or score) based on road distance to major service centres (GISCA)."
"Statistical Areas are grouped according to Australian Statistical Geographic Standard (ASGS) remoteness categories on the basis of Accessibility/Remoteness Index for Australia (ARIA version) score."
"Outer regional and remote includes very remote."
"Socio-Economic Indexes for Areas (SEIFA) are produced by the Australian Bureau of Statistics, with four indexes currently being produced. Index of Relative Socio-Economic Disadvantage (IRSD) is the main index reported by HealthStats NSW. It includes characteristics relating to occupation, education, non-English speaking background and the economic resources of the household."
"Quintiles of socioeconomic status (Index of Relative Socioeconomic Disadvantage) based on the Australian Bureau of Statistics' Socio-Economic Indexes for Areas were allocated based on Statistical Local Area of residence (before 2009-10) or Statistical Area Level 2 of residence (2009-10 and after)."
"Regional health districts in NSW are defined on the basis of Local Health District (LHD) geographic areas. Metropolitan and regional health districts are defined here."
